utm,lon,lat,gdd5,mtco,apet
25SFD4,-31.2,39.44,3984.433333,12.43333333,0.8988
25SFD3,-31.1,39.7,3968.666667,12.35666667,0.902933333
26SLH1,-28.7,38.58,4256.633333,13.11,0.822233333
26SLH4,-28.3,38.46,4330.2,13.33666667,0.813766667
26SMH2,-28.05,38.66,4405.066667,13.54666667,0.805033333
26SMJ2,-28.05,39.05,4182.433333,12.89,0.821533333
26SMH4,-27.22,38.71,3872,11.97666667,0.826766667
26SPG1,-25.45,37.75,4341.233333,13.21,0.7532
26SPF3,-25.11,36.97,4535.9,13.85,0.720833333
27WUP4,-23.6,66.02,169.9333333,-5.006666667,1
27WUM3,-23.58,65.57,231.0333333,-4.006666667,1
27WUN3,-23.55,64.85,179.7666667,-4.78,0.9995
27WVP1,-22.69,66.48,197.9333333,-4.2,1
27WVP2,-22.66,66.03,233,-3.903333333,1
27WVN1,-22.63,65.59,282.7333333,-3.516666667,1
27WVN2,-22.6,65.14,363.9333333,-3.166666667,1
27WVM1,-22.57,64.69,445.4666667,-2.643333333,0.9973
27VVL1,-22.52,63.79,487.6333333,-2.4,1
27WVP4,-21.55,66.04,182.8,-5.216666667,1
27WVN3,-21.54,65.59,241.5333333,-4.62,0.9997
27WVN4,-21.53,65.15,283,-4.31,0.9977
27WVM3,-21.52,64.7,321.3,-3.97,1
27WVM4,-21.52,64.25,370.2333333,-3.443333333,1
27VVL3,-21.51,63.8,425.3666667,-3.193333333,1
27VWL2,-20.5,63.35,599.0666667,-1.686666667,1
27VWL1,-20.49,63.8,558.6666667,-1.856666667,1
27WWM1,-20.48,64.7,177.0333333,-5.44,1
27WWM2,-20.48,64.25,346.0666667,-3.846666667,1
27WWN2,-20.47,65.15,250.7333333,-5.2,1
27WWN1,-20.46,65.59,260.8333333,-5.336666667,0.9995
27VWL4,-19.5,63.34,282.5666667,-3.48,1
27VWL3,-19.48,63.79,234.0666667,-3.696666667,1
27WWN4,-19.4,65.14,290.6666667,-5.286666667,1
27WWN3,-19.37,65.59,249.6666667,-6.033333333,1
27WWP4,-19.35,66.03,249.0666667,-6.356666667,1
27VXL2,-18.5,63.33,558.0666667,-1.733333333,1
27VXL1,-18.49,63.78,441.6333333,-2.666666667,1
27WXM2,-18.47,64.23,299.7,-4.163333333,1
27WXM1,-18.45,64.68,248.2,-5.203333333,1
27WXN2,-18.43,65.12,205.7,-6.136666667,1
27WXN1,-18.42,65.57,202.4666667,-6.68,1
27WXP2,-18.4,66.02,216.7333333,-7.063333333,1
27WXP1,-18.38,66.47,259.4666667,-7.006666667,1
CAN003,-18.02,27.7,4764.533333,13.47666667,0.373966667
CAN002,-17.84,28.73,4283.5,12.12333333,0.433566667
28WCU4,-17.6,66.02,268.0333333,-6.836666667,1
28WCT3,-17.58,65.57,249.6666667,-6.656666667,1
28WCT4,-17.57,65.12,177.9,-6.636666667,1
28WCS3,-17.55,64.68,72.56666667,-7.02,1
28VCR3,-17.52,63.78,562.7666667,-1.853333333,1
CAN004,-17.23,28.15,4697.133333,13.27333333,0.3598
28WDU1,-16.69,66.48,304.7,-5.8,1
28WDU2,-16.66,66.03,265.1333333,-6.296666667,1
28WDT1,-16.63,65.59,184.8,-6.786666667,1
28WDT2,-16.6,65.14,111.3666667,-6.903333333,1
28WDS1,-16.57,64.69,26.93333333,-7.396666667,1
CAN005,-16.56,28.28,4198.1,12.11,0.365633333
28WDS2,-16.55,64.24,25,-6.606666667,1
28VDR1,-16.52,63.79,81.83333333,-5.55,1
28SCA3,-16.5,32.4,3797.6,12.03,0.581333333
28SDU1,-16,30,4642.766667,14.17,0.371433333
CAN001,-15.95,30.13,4642.766667,14.17,0.371833333
CAN006,-15.56,28,4484.4,13.18333333,0.303533333
28WDU4,-15.55,66.04,169.9666667,-5.04,1
28WDT3,-15.54,65.59,118.2333333,-5.516666667,1
