utm,gdd5,mtco,apet
25SFD3,4783,14.9,0.895
25SFD4,4651,14.4,0.906
26SLH1,4640,14.5,0.791
26SLH4,4406,13.9,0.797
26SMH2,4435,14,0.793
26SMH4,4531,14.4,0.762
26SPF3,4931,15.5,0.613
26SPG1,4368,14,0.769
27VVL1,1147,4.4,1
27VVL3,883,2.9,1
27VWL1,1100,4.6,1
27VWL2,1176,5.1,1
27VWL3,434,0.2,1
27VWL4,779,2.9,1
27VXL1,849,2.6,1
27VXL2,1139,4.4,1
27WUM3,1004,3.6,1
27WUN3,987,3.7,1
27WUP4,928,2.9,1
27WVM1,994,3.1,1
27WVM3,909,2.5,1
27WVM4,824,2.4,1
27WVN1,880,2.1,1
27WVN2,967,2.9,1
27WVN3,908,1.9,1
27WVN4,827,1.7,1
27WVP1,935,1.9,1
27WVP2,963,2.3,1
27WVP4,873,1.4,1
27WWM1,491,0,1
27WWM2,925,3.3,1
27WWM3,568,0,1
27WWM4,601,0.8,1
27WWN1,1096,2.7,1
27WWN2,742,1.3,1
27WWN3,899,1.4,1
27WWN4,642,0.1,1
27WWP2,1071,2.2,1
27WWP4,877,1.2,1
27WXM1,511,-1,1
27WXM2,538,0,1
27WXN1,586,-0.9,1
27WXN2,468,-1.6,1
27WXP2,842,1.2,1
28SCB1,4017,13.3,0.512
28SCB2,4334,14.3,0.495
28VCR3,1099,3.7,1
28VDR1,711,1.6,1
28WCS3,162,-4,1
28WCS4,213,-3,1
28WCT3,690,0.3,1
28WCT4,480,-1.1,1
28WCU4,818,1.5,1
28WDS1,200,-2.8,1
28WDS2,77,-4.4,1
28WDS3,244,-1.7,1
28WDS4,714,2,1
28WDT1,533,0.3,1
28WDT2,387,-0.9,1
28WDT3,403,-0.4,1
28WDT4,383,-0.5,1
28WDU1,806,2.3,1
28WDU2,726,1.7,1
28WDU4,652,1.4,1
28WES1,577,1.1,1
28WET1,805,2.4,1
28WET2,570,1,1
29SMC3,4732,12.7,0.373
29SMD3,4491,12.6,0.36
29SMD4,4463,12.3,0.377
29SNA1,4800,14.2,0.178
29SNA3,5249,14,0.191
29SNB1,4925,13,0.236
29SNB2,4794,13.3,0.207
29SNB3,5021,12.4,0.23
29SNB4,4843,12.4,0.232
29SNC1,5146,13.2,0.301
29SNC2,5071,13,0.268
29SNC3,5108,12.2,0.287
29SNC4,5173,12.5,0.244
29SND1,4735,12.2,0.356
29SND2,5087,13,0.314
29SND3,5133,12,0.348
29SND4,5258,12.5,0.308
29SNE2,4734,12.3,0.416
29SNE4,4577,10.2,0.448
29SPA1,5347,13.9,0.187
29SPB1,5289,12.4,0.205
29SPB2,5251,12.8,0.199
29SPB3,5441,12,0.21
29SPB4,5708,13.1,0.181
29SPC1,5342,11.8,0.264
29SPC2,5381,12.1,0.219
29SPC3,5464,11.2,0.227
29SPC4,5367,11.2,0.231
29SPD1,5355,11.5,0.347
29SPD2,5392,11.8,0.314
29SPD3,5452,10.9,0.299
29SPD4,5575,11.3,0.249
29SPE2,5044,10.3,0.396
29SPE4,5324,10.4,0.324
29SQA1,5943,13.9,0.244
29SQA2,5988,14.5,0.282
29SQB1,5593,11.2,0.263
29SQB2,6065,13.1,0.228
29SQC1,5530,10.5,0.229
29SQC2,5211,9.8,0.287
29SQD1,5491,10.4,0.223
29SQD2,5612,10.7,0.213
29SQE2,5356,10,0.221
29TMH3,4001,11.7,0.614
29TMH4,4090,11.9,0.608
29TNE1,4659,12.1,0.487
29TNE3,4678,10.5,0.488
29TNF1,4333,11.3,0.587
29TNF2,4460,11.5,0.541
29TNF3,4309,9.6,0.556
